[run number];awareness-frecuency;[reporter];[final];[min];[max];[mean];[total steps]
25;;ema-success-rate;0,071324143;0;0,16219572;0,092068709;8000
25;;vulnerability-index;0;0;0,576666667;0,046207141;8000
25;;expert-index;0,196666667;0;0,45;0,130710328;8000
25;;attackers-jail;11;0;31;12,22872141;8000
25;;attackers-free;29;9;40;27,77127859;8000
25;;mean [last-payoff] of attackers;-1,9;-5;3,1;-1,437295338;8000
25;;mean [aspiration-payoff] of attackers;-2,334939995;-3,413702748;0,29276592;-1,884642612;8000
26;1500;[step];8000;0;8000;4000;8000
26;;mean [digital-knowledge] of citizens;66,25367765;21,17645583;68,72967765;53,80360233;8000
26;;cumulative-victims;19883;0;19883;10718,93051;8000
26;;ema-success-rate;0,074624469;0;0,173464126;0,091799316;8000
26;;vulnerability-index;0;0;0,476666667;0,034593176;8000
26;;expert-index;0,37;0;0,473333333;0,128588926;8000
26;;attackers-jail;11;0;24;12,23084614;8000
26;;attackers-free;29;16;40;27,76915386;8000
26;;mean [last-payoff] of attackers;-0,9;-6,1;4;-1,44528184;8000
26;;mean [aspiration-payoff] of attackers;-3,038113154;-3,087054812;0,01;-1,922573607;8000
27;1500;[step];8000;0;8000;4000;8000
27;;mean [digital-knowledge] of citizens;61,45271309;20,17497332;65,13704643;51,29791001;8000
27;;cumulative-victims;19687;0;19687;10630,34333;8000
27;;ema-success-rate;0,073037705;0;0,165608825;0,095768147;8000
27;;vulnerability-index;0;0;0,473333333;0,042485939;8000
27;;expert-index;0,2;0;0,286666667;0,077893597;8000
27;;attackers-jail;12;0;26;12,96912886;8000
27;;attackers-free;28;14;40;27,03087114;8000
27;;mean [last-payoff] of attackers;-1,9;-4,2;3,5;-1,308823897;8000
27;;mean [aspiration-payoff] of attackers;-2,467715322;-2,837947239;0,153388064;-1,758991218;8000
28;1500;[step];8000;0;8000;4000;8000
28;;mean [digital-knowledge] of citizens;63,72836081;20,33165522;66,99202748;53,19826432;8000
28;;cumulative-victims;19799;0;19799;10737,51431;8000
28;;ema-success-rate;0,077623142;0;0,163205761;0,094280468;8000
28;;vulnerability-index;0;0;0,48;0,047912761;8000
28;;expert-index;0,23;0;0,366666667;0,12061159;8000
28;;attackers-jail;9;0;29;12,60817398;8000
28;;attackers-free;31;11;40;27,39182602;8000
28;;mean [last-payoff] of attackers;-1,6;-5;2,7;-1,391288589;8000
28;;mean [aspiration-payoff] of attackers;-2,257225497;-3,025676828;0,292496021;-1,847061816;8000
29;1500;[step];8000;0;8000;4000;8000
29;;mean [digital-knowledge] of citizens;63,40174173;21,10941339;67,2025105;52,37150082;8000
29;;cumulative-victims;19764;0;19764;10653,42182;8000
29;;ema-success-rate;0,070625817;0;0,166430564;0,095305019;8000
29;;vulnerability-index;0;0;0,463333333;0,045050202;8000
29;;expert-index;0,253333333;0;0,416666667;0,112496771;8000
29;;attackers-jail;10;0;27;12,49343832;8000
29;;attackers-free;30;13;40;27,50656168;8000
29;;mean [last-payoff] of attackers;-1,4;-4,8;3,6;-1,354843145;8000
29;;mean [aspiration-payoff] of attackers;-2,332956318;-3,104845902;0,01;-1,782962646;8000
30;1500;[step];8000;0;8000;4000;8000
30;;mean [digital-knowledge] of citizens;61,80659228;19,73934135;66,91659228;51,91105906;8000
30;;cumulative-victims;19771;0;19771;10710,01737;8000
30;;ema-success-rate;0,071548749;0;0,164599951;0,09578157;8000
30;;vulnerability-index;0;0;0,516666667;0,04256343;8000
30;;expert-index;0,186666667;0;0,37;0,095237262;8000
30;;attackers-jail;10;0;28;13,14785652;8000
30;;attackers-free;30;12;40;26,85214348;8000
30;;mean [last-payoff] of attackers;-1,7;-4,1;4;-1,319610049;8000
30;;mean [aspiration-payoff] of attackers;-1,988273613;-2,919857123;0,39408475;-1,800119316;8000
