[run number];train-frecuency;[reporter];[final];[min];[max];[mean];[total steps]
28;;attackers-jail;15;0;23;13,27646544;8000
28;;attackers-free;25;17;40;26,72353456;8000
28;;mean [last-payoff] of attackers;-0,6;-5,4;3,1;-1,254343207;8000
28;;mean [aspiration-payoff] of attackers;-1,992847666;-2,797429556;0,01;-1,722126959;8000
29;1500;[step];8000;0;8000;4000;8000
29;;mean [digital-knowledge] of citizens;60,23447038;20,92906359;63,61913704;49,4478117;8000
29;;cumulative-victims;20184;0;20184;10765,3957;8000
29;;ema-success-rate;0,085177515;0;0,151454622;0,099342913;8000
29;;vulnerability-index;0;0;0,47;0,051914344;8000
29;;expert-index;0,246666667;0;0,296666667;0,132920468;8000
29;;attackers-jail;15;0;28;13,42669666;8000
29;;attackers-free;25;12;40;26,57330334;8000
29;;mean [last-payoff] of attackers;0,3;-5,1;3,1;-1,254680665;8000
29;;mean [aspiration-payoff] of attackers;-2,088230721;-3,156502874;0,021739235;-1,715346657;8000
30;1500;[step];8000;0;8000;4000;8000
30;;mean [digital-knowledge] of citizens;60,63532089;20,08798159;62,81822156;51,33207636;8000
30;;cumulative-victims;20256;0;20256;10896,26034;8000
30;;ema-success-rate;0,074097845;0;0,160984445;0,097458344;8000
30;;vulnerability-index;0;0;0,5;0,052263467;8000
30;;expert-index;0,263333333;0;0,306666667;0,149992501;8000
30;;attackers-jail;7;0;29;12,93325834;8000
30;;attackers-free;33;11;40;27,06674166;8000
30;;mean [last-payoff] of attackers;-1,5;-4,5;2,9;-1,312073491;8000
30;;mean [aspiration-payoff] of attackers;-2,021140717;-2,832702425;0,1514645;-1,779904967;8000
